"incident_guid","b_esn","b_name","day","month","start","stop","cam_count","inc_cams","drop_type","duration_sum","avg"
"100a54e92019-10-11 03:00:36","100a54e9","DFW1 - 29290","100aaf1b","11","10","2019-10-11 03:00:36","2019-10-11 03:01:59","46","42","bridge","2384","56"
"100a54e92019-10-11 03:00:36","100a54e9","DFW1 - 29290","100bccc8","11","10","2019-10-11 03:00:36","2019-10-11 03:01:59","46","42","bridge","2384","56"
"100a54e92019-10-11 03:00:36","100a54e9","DFW1 - 29290","100cb990","11","10","2019-10-11 03:00:36","2019-10-11 03:01:59","46","42","bridge","2384","56"
"100a54e92019-10-11 03:00:36","100a54e9","DFW1 - 29290","100cecc0","11","10","2019-10-11 03:00:36","2019-10-11 03:01:59","46","42","bridge","2384","56"
"100a54e92019-10-11 03:00:36","100a54e9","DFW1 - 29290","100d0012","11","10","2019-10-11 03:00:36","2019-10-11 03:01:59","46","42","bridge","2384","56"
"100a54e92019-10-11 03:00:36","100a54e9","DFW1 - 29290","100d88fa","11","10","2019-10-11 03:00:36","2019-10-11 03:01:59","46","42","bridge","2384","56"
"100a54e92019-10-11 03:00:36","100a54e9","DFW1 - 29290","100e9f55","11","10","2019-10-11 03:00:36","2019-10-11 03:01:59","46","42","bridge","2384","56"
"100a54e92019-10-11 03:00:36","100a54e9","DFW1 - 29290","100f4b63","11","10","2019-10-11 03:00:36","2019-10-11 03:01:59","46","42","bridge","2384","56"
"100a54e92019-10-11 03:00:36","100a54e9","DFW1 - 29290","100f915c","11","10","2019-10-11 03:00:36","2019-10-11 03:01:59","46","42","bridge","2384","56"
"100a54e92019-10-11 03:00:36","100a54e9","DFW1 - 29290","10107225","11","10","2019-10-11 03:00:36","2019-10-11 03:01:59","46","42","bridge","2384","56"
"incident_guid","b_esn","b_name","day","month","start","stop","cam_count","inc_cams","drop_type","duration_sum","avg"
"100a54e92019-10-23 02:15:32","100a54e9","DFW1 - 29290","10004653","23","10","2019-10-23 02:15:32","2019-10-23 02:16:28","46","43","bridge","2164","50"
"100a54e92019-10-23 02:15:32","100a54e9","DFW1 - 29290","100072ed","23","10","2019-10-23 02:15:32","2019-10-23 02:16:28","46","43","bridge","2164","50"
"100a54e92019-10-23 02:15:32","100a54e9","DFW1 - 29290","1000b550","23","10","2019-10-23 02:15:32","2019-10-23 02:16:28","46","43","bridge","2164","50"
"100a54e92019-10-23 02:15:32","100a54e9","DFW1 - 29290","1000d2a6","23","10","2019-10-23 02:15:32","2019-10-23 02:16:28","46","43","bridge","2164","50"
"100a54e92019-10-23 02:15:32","100a54e9","DFW1 - 29290","100172f3","23","10","2019-10-23 02:15:32","2019-10-23 02:16:28","46","43","bridge","2164","50"
"100a54e92019-10-23 02:15:32","100a54e9","DFW1 - 29290","10019ee8","23","10","2019-10-23 02:15:32","2019-10-23 02:16:28","46","43","bridge","2164","50"
"100a54e92019-10-23 02:15:32","100a54e9","DFW1 - 29290","10020a28","23","10","2019-10-23 02:15:32","2019-10-23 02:16:28","46","43","bridge","2164","50"
"100a54e92019-10-23 02:15:32","100a54e9","DFW1 - 29290","1002a404","23","10","2019-10-23 02:15:32","2019-10-23 02:16:28","46","43","bridge","2164","50"
"100a54e92019-10-23 02:15:32","100a54e9","DFW1 - 29290","1003d591","23","10","2019-10-23 02:15:32","2019-10-23 02:16:28","46","43","bridge","2164","50"
"100a54e92019-10-23 02:15:32","100a54e9","DFW1 - 29290","1003e1aa","23","10","2019-10-23 02:15:32","2019-10-23 02:16:28","46","43","bridge","2164","50"
"100a54e92019-10-23 02:15:32","100a54e9","DFW1 - 29290","10042ee3","23","10","2019-10-23 02:15:32","2019-10-23 02:16:28","46","43","bridge","2164","50"
