"incident_guid","b_esn","b_name","day","month","start","stop","cam_count","inc_cams","drop_type","duration_sum","avg"
"100830442019-10-16 14:14:47","10083044","ORD5 - 30834","100b0f00","16","10","2019-10-16 14:14:47","2019-10-16 14:15:05","58","116","bridge","8964","77"
"100830442019-10-16 14:14:47","10083044","ORD5 - 30834","100b971f","16","10","2019-10-16 14:14:47","2019-10-16 14:15:05","58","116","bridge","8964","77"
"100830442019-10-16 14:14:47","10083044","ORD5 - 30834","100b9e96","16","10","2019-10-16 14:14:47","2019-10-16 14:15:05","58","116","bridge","8964","77"
"100830442019-10-16 14:14:47","10083044","ORD5 - 30834","100cdee1","16","10","2019-10-16 14:14:47","2019-10-16 14:15:05","58","116","bridge","8964","77"
"100830442019-10-16 14:14:47","10083044","ORD5 - 30834","100da1d7","16","10","2019-10-16 14:14:47","2019-10-16 14:15:05","58","116","bridge","8964","77"
"100830442019-10-16 14:14:47","10083044","ORD5 - 30834","100ddc29","16","10","2019-10-16 14:14:47","2019-10-16 14:15:05","58","116","bridge","8964","77"
"100830442019-10-16 14:14:47","10083044","ORD5 - 30834","100e24e7","16","10","2019-10-16 14:14:47","2019-10-16 14:15:05","58","116","bridge","8964","77"
"100830442019-10-16 14:14:47","10083044","ORD5 - 30834","100e2a38","16","10","2019-10-16 14:14:47","2019-10-16 14:15:05","58","116","bridge","8964","77"
"100830442019-10-16 14:14:47","10083044","ORD5 - 30834","100e4b68","16","10","2019-10-16 14:14:47","2019-10-16 14:15:05","58","116","bridge","8964","77"
"100830442019-10-16 14:14:47","10083044","ORD5 - 30834","100e80d8","16","10","2019-10-16 14:14:47","2019-10-16 14:15:05","58","116","bridge","8964","77"
"100830442019-10-16 14:14:47","10083044","ORD5 - 30834","100f4d5f","16","10","2019-10-16 14:14:47","2019-10-16 14:15:05","58","116","bridge","8964","77"
"100830442019-10-16 14:14:47","10083044","ORD5 - 30834","100f591d","16","10","2019-10-16 14:14:47","2019-10-16 14:15:05","58","116","bridge","8964","77"
"100830442019-10-16 14:14:47","10083044","ORD5 - 30834","100f70be","16","10","2019-10-16 14:14:47","2019-10-16 14:15:05","58","116","bridge","8964","77"
"100830442019-10-16 14:14:47","10083044","ORD5 - 30834","100f8bd0","16","10","2019-10-16 14:14:47","2019-10-16 14:15:05","58","116","bridge","8964","77"
"100830442019-10-16 14:14:47","10083044","ORD5 - 30834","100fc21f","16","10","2019-10-16 14:14:47","2019-10-16 14:15:05","58","116","bridge","8964","77"
"100830442019-10-16 14:14:47","10083044","ORD5 - 30834","100fd726","16","10","2019-10-16 14:14:47","2019-10-16 14:15:05","58","116","bridge","8964","77"
"100830442019-10-16 14:14:47","10083044","ORD5 - 30834","10102542","16","10","2019-10-16 14:14:47","2019-10-16 14:15:05","58","116","bridge","8964","77"
"100830442019-10-16 14:14:47","10083044","ORD5 - 30834","101039dd","16","10","2019-10-16 14:14:47","2019-10-16 14:15:05","58","116","bridge","8964","77"
"100830442019-10-16 14:14:47","10083044","ORD5 - 30834","10107da8","16","10","2019-10-16 14:14:47","2019-10-16 14:15:05","58","116","bridge","8964","77"
"incident_guid","b_esn","b_name","day","month","start","stop","cam_count","inc_cams","drop_type","duration_sum","avg"
"100830442019-10-13 03:22:33","10083044","ORD5 - 30834","1000cada","13","10","2019-10-13 03:22:33","2019-10-13 03:24:33","58","58","bridge","5950","102"
"100830442019-10-13 03:22:33","10083044","ORD5 - 30834","1000e148","13","10","2019-10-13 03:22:33","2019-10-13 03:24:33","58","58","bridge","5950","102"
"100830442019-10-13 03:22:33","10083044","ORD5 - 30834","1001359d","13","10","2019-10-13 03:22:33","2019-10-13 03:24:33","58","58","bridge","5950","102"
"100830442019-10-13 03:22:33","10083044","ORD5 - 30834","100160d2","13","10","2019-10-13 03:22:33","2019-10-13 03:24:33","58","58","bridge","5950","102"
"100830442019-10-13 03:22:33","10083044","ORD5 - 30834","1001abfc","13","10","2019-10-13 03:22:33","2019-10-13 03:24:33","58","58","bridge","5950","102"
"100830442019-10-13 03:22:33","10083044","ORD5 - 30834","10020f19","13","10","2019-10-13 03:22:33","2019-10-13 03:24:33","58","58","bridge","5950","102"
"100830442019-10-13 03:22:33","10083044","ORD5 - 30834","100260fa","13","10","2019-10-13 03:22:33","2019-10-13 03:24:33","58","58","bridge","5950","102"
"100830442019-10-13 03:22:33","10083044","ORD5 - 30834","10029040","13","10","2019-10-13 03:22:33","2019-10-13 03:24:33","58","58","bridge","5950","102"
"100830442019-10-13 03:22:33","10083044","ORD5 - 30834","1002a24d","13","10","2019-10-13 03:22:33","2019-10-13 03:24:33","58","58","bridge","5950","102"
"100830442019-10-13 03:22:33","10083044","ORD5 - 30834","10031834","13","10","2019-10-13 03:22:33","2019-10-13 03:24:33","58","58","bridge","5950","102"
"100830442019-10-13 03:22:33","10083044","ORD5 - 30834","10033f50","13","10","2019-10-13 03:22:33","2019-10-13 03:24:33","58","58","bridge","5950","102"
"100830442019-10-13 03:22:33","10083044","ORD5 - 30834","10038944","13","10","2019-10-13 03:22:33","2019-10-13 03:24:33","58","58","bridge","5950","102"
"100830442019-10-13 03:22:33","10083044","ORD5 - 30834","1003b0da","13","10","2019-10-13 03:22:33","2019-10-13 03:24:33","58","58","bridge","5950","102"
"100830442019-10-13 03:22:33","10083044","ORD5 - 30834","1003b6f9","13","10","2019-10-13 03:22:33","2019-10-13 03:24:33","58","58","bridge","5950","102"
"100830442019-10-13 03:22:33","10083044","ORD5 - 30834","1003c54b","13","10","2019-10-13 03:22:33","2019-10-13 03:24:33","58","58","bridge","5950","102"
"100830442019-10-13 03:22:33","10083044","ORD5 - 30834","1004fe10","13","10","2019-10-13 03:22:33","2019-10-13 03:24:33","58","58","bridge","5950","102"
"100830442019-10-13 03:22:33","10083044","ORD5 - 30834","10050062","13","10","2019-10-13 03:22:33","2019-10-13 03:24:33","58","58","bridge","5950","102"
"100830442019-10-13 03:22:33","10083044","ORD5 - 30834","10054b3b","13","10","2019-10-13 03:22:33","2019-10-13 03:24:33","58","58","bridge","5950","102"
