"100354fd","JFK2 - 30561","6048000","6044488","3512","99.9400%","1822","1","51.8800%","0","0","0.0000%","1690","2","48.1200%","10","1"
"100736ee","SEA2 - 31242","2764800","2763881","919","99.9700%","0","0","0.0000%","0","0","0.0000%","919","1","100.0000%","10","1"
"1000e712","DEN - EEN-BR820-30333","3024000","3023034","966","99.9700%","921","1","95.3400%","45","1","4.6600%","0","0","0.0000%","10","1"
"100317d3","SFO1 - 34022","3888000","3888000","0","100.0000%","0","0","0%","0","0","0%","0","0","0%","10","1"
"10105ff7","MIA1 - 31492","7689600","7657960","31640","99.5900%","0","0","0.0000%","5119","30","16.1800%","26521","344","83.8200%","10","1"
"1004c0ff","ORD7 - 30832","2505600","2505600","0","100.0000%","0","0","0%","0","0","0%","0","0","0%","10","1"
"100112ce","ATL1 - 31335","6739200","6739200","0","100.0000%","0","0","0%","0","0","0%","0","0","0%","10","1"
"10090323","IAH1 - 30554","3628800","3628800","0","100.0000%","0","0","0%","0","0","0%","0","0","0%","10","1"
"10035cb5","IAH3 - 30178","3369600","3367606","1994","99.9400%","0","0","0.0000%","0","0","0.0000%","1994","1","100.0000%","10","1"
"10015d48","BOS1- 34148","5616000","5616000","0","100.0000%","0","0","0%","0","0","0%","0","0","0%","10","1"
"100eed3d","ORD2 - 30567","4838400","4838389","11","100.0000%","0","0","0.0000%","11","1","100.0000%","0","0","0.0000%","10","1"
"10083044","ORD5 - 30834","5011200","5011200","0","100.0000%","0","0","0%","0","0","0%","0","0","0%","10","1"
"10109078","DTW - 30560","2851200","2851200","0","100.0000%","0","0","0%","0","0","0%","0","0","0%","10","1"
"10007c0c","ORD1 - 31387","3283200","2951630","331570","89.9000%","0","0","0.0000%","319","1","0.1000%","331251","1","99.9000%","10","1"
"100d7b9b","SEA1 - 31232","4406400","4406400","0","100.0000%","0","0","0%","0","0","0%","0","0","0%","10","1"
"1000fede","ORD3 - 30566","6048000","6048000","0","100.0000%","0","0","0%","0","0","0%","0","0","0%","10","1"
"100b317d","ATL2 - 30564","6134400","6134254","146","100.0000%","0","0","0.0000%","0","0","0.0000%","146","3","100.0000%","10","1"
"100d1583","IAD - 30153","3456000","3455064","936","99.9700%","0","0","0.0000%","0","0","0.0000%","936","3","100.0000%","10","1"
"10093b39","PHL - 31493","5529600","5525591","4009","99.9300%","3990","1","99.5300%","19","1","0.4700%","0","0","0.0000%","10","1"
"100248df","ORD4 - 30191","6048000","6047302","698","99.9900%","0","0","0.0000%","698","1","100.0000%","0","0","0.0000%","10","1"
"1001eb37","BOS2 - 31336","2592000","2592000","0","100.0000%","0","0","0%","0","0","0%","0","0","0%","10","1"
"10077d26","SJU1 - 31559","5702400","5697930","4470","99.9200%","0","0","0.0000%","0","0","0.0000%","4470","2","100.0000%","10","1"
"10033c8f","IAH2 - 30556","2937600","2937446","154","99.9900%","0","0","0.0000%","55","2","35.7100%","99","2","64.2900%","10","1"
"1008252d","RDU - 30177","2332800","2331758","1042","99.9600%","877","1","84.1700%","0","0","0.0000%","165","1","15.8300%","10","1"
"1007809a","LAX2 - 30668","6134400","6134103","297","100.0000%","0","0","0.0000%","0","0","0.0000%","297","1","100.0000%","10","1"
"10061de1","MIA2 - 31246","5961600","5784121","177479","97.0200%","4091","1","2.3100%","21374","90","12.0400%","152014","696","85.6500%","10","1"
"100c3985","JFK1 - 30557","5184000","5184000","0","100.0000%","0","0","0%","0","0","0%","0","0","0%","10","1"
"1009004c","CVG - 32885","3196800","3195729","1071","99.9700%","1071","1","100.0000%","0","0","0.0000%","0","0","0.0000%","10","1"
"1009e6c6","LAX1 - 30331","5616000","5615845","155","100.0000%","0","0","0.0000%","155","10","100.0000%","0","0","0.0000%","10","1"
"1002ea86","ORD6 - 30833","2678400","2678400","0","100.0000%","0","0","0%","0","0","0%","0","0","0%","10","1"
"1004bbe9","SFO2 - 30555","5875200","5872093","3107","99.9500%","0","0","0.0000%","0","0","0.0000%","3107","1","100.0000%","10","1"
"1001f8a7","PDX - 32813","4665600","4664996","604","99.9900%","604","1","100.0000%","0","0","0.0000%","0","0","0.0000%","10","1"
"10012346","DFW2 - 29295","3801600","3801567","33","100.0000%","0","0","0.0000%","14","1","42.4200%","19","1","57.5800%","10","1"
"100a54e9","DFW1 - 29290","3974400","3972444","1956","99.9500%","632","1","32.3100%","1027","2","52.5100%","297","1","15.1800%","10","1"
"100354fd","JFK2 - 30561","6048000","6042550","5450","99.9100%","1849","1","33.9300%","3601","1","66.0700%","0","0","0.0000%","10","2"
"100736ee","SEA2 - 31242","2764800","2764800","0","100.0000%","0","0","0%","0","0","0%","0","0","0%","10","2"
"1000e712","DEN - EEN-BR820-30333","3024000","3022597","1403","99.9500%","0","0","0.0000%","0","0","0.0000%","1403","1","100.0000%","10","2"
"100317d3","SFO1 - 34022","3888000","3887927","73","100.0000%","0","0","0.0000%","13","1","17.8100%","60","1","82.1900%","10","2"
"10105ff7","MIA1 - 31492","7689600","7609881","79719","98.9600%","12235","1","15.3500%","2808","43","3.5200%","64676","1025","81.1300%","10","2"
"1004c0ff","ORD7 - 30832","2505600","2505600","0","100.0000%","0","0","0%","0","0","0%","0","0","0%","10","2"
"100112ce","ATL1 - 31335","6739200","6718944","20256","99.7000%","0","0","0.0000%","28","1","0.1400%","20228","5","99.8600%","10","2"
"10090323","IAH1 - 30554","3628800","3628800","0","100.0000%","0","0","0%","0","0","0%","0","0","0%","10","2"
"10035cb5","IAH3 - 30178","3369600","3369573","27","100.0000%","0","0","0.0000%","27","1","100.0000%","0","0","0.0000%","10","2"
"10015d48","BOS1- 34148","5616000","5616000","0","100.0000%","0","0","0%","0","0","0%","0","0","0%","10","2"
"100eed3d","ORD2 - 30567","4838400","4835174","3226","99.9300%","3150","1","97.6400%","76","2","2.3600%","0","0","0.0000%","10","2"
"10083044","ORD5 - 30834","5011200","5011200","0","100.0000%","0","0","0%","0","0","0%","0","0","0%","10","2"
"10109078","DTW - 30560","2851200","2851200","0","100.0000%","0","0","0%","0","0","0%","0","0","0%","10","2"
"10007c0c","ORD1 - 31387","3283200","3274648","8552","99.7400%","1351","1","15.8000%","7201","1","84.2000%","0","0","0.0000%","10","2"
"100d7b9b","SEA1 - 31232","4406400","4399945","6455","99.8500%","6455","2","100.0000%","0","0","0.0000%","0","0","0.0000%","10","2"
"1000fede","ORD3 - 30566","6048000","6033440","14560","99.7600%","13634","3","93.6400%","121","2","0.8300%","805","1","5.5300%","10","2"
"100b317d","ATL2 - 30564","6134400","6102860","31540","99.4900%","0","0","0.0000%","477","1","1.5100%","31063","8","98.4900%","10","2"
