"esn","name","total_secs","after_loss","dif","total_percent","bridge_loss","bridge_loss_count","bridge_percent","camera_loss","camera_loss_count","camera_percent","switch_loss","switch_loss_count","switch_percent","month","day"
"1009e6c6","LAX1 - 30331","5616000","5614807","1193","99.9800%","703","1","58.9300%","215","14","18.0200%","275","1","23.0500%","10","29"
"1002ea86","ORD6 - 30833","2678400","2677567","833","99.9700%","0","0","0.0000%","833","2","100.0000%","0","0","0.0000%","10","29"
"1004bbe9","SFO2 - 30555","5875200","5869584","5616","99.9000%","5342","1","95.1200%","274","1","4.8800%","0","0","0.0000%","10","29"
"1001f8a7","PDX - 32813","4665600","4665600","0","100.0000%","0","0","0%","0","0","0%","0","0","0%","10","29"
"10012346","DFW2 - 29295","3801600","3791520","10080","99.7300%","0","0","0.0000%","6748","5","66.9400%","3332","3","33.0600%","10","29"
"100a54e9","DFW1 - 29290","3974400","3972822","1578","99.9600%","463","1","29.3400%","808","2","51.2000%","307","1","19.4600%","10","29"
"100354fd","JFK2 - 30561","6048000","6047026","974","99.9800%","0","0","0.0000%","0","0","0.0000%","974","2","100.0000%","10","28"
"100736ee","SEA2 - 31242","2764800","2763786","1014","99.9600%","0","0","0.0000%","1014","5","100.0000%","0","0","0.0000%","10","28"
"1000e712","DEN - EEN-BR820-30333","3024000","3024000","0","100.0000%","0","0","0%","0","0","0%","0","0","0%","10","28"
"100317d3","SFO1 - 34022","3888000","3887687","313","99.9900%","0","0","0.0000%","313","3","100.0000%","0","0","0.0000%","10","28"
"10105ff7","MIA1 - 31492","7689600","7689077","523","99.9900%","0","0","0.0000%","373","24","71.3200%","150","5","28.6800%","10","28"
"1004c0ff","ORD7 - 30832","2505600","2503711","1889","99.9200%","1889","1","100.0000%","0","0","0.0000%","0","0","0.0000%","10","28"
"100112ce","ATL1 - 31335","6739200","6735396","3804","99.9400%","0","0","0.0000%","725","2","19.0600%","3079","1","80.9400%","10","28"
"10090323","IAH1 - 30554","3628800","3628240","560","99.9800%","0","0","0.0000%","560","2","100.0000%","0","0","0.0000%","10","28"
"10035cb5","IAH3 - 30178","3369600","3369441","159","100.0000%","0","0","0.0000%","159","2","100.0000%","0","0","0.0000%","10","28"
"10015d48","BOS1- 34148","5616000","5616000","0","100.0000%","0","0","0%","0","0","0%","0","0","0%","10","28"
"100eed3d","ORD2 - 30567","4838400","4838078","322","99.9900%","0","0","0.0000%","322","2","100.0000%","0","0","0.0000%","10","28"
"10083044","ORD5 - 30834","5011200","5003625","7575","99.8500%","4162","1","54.9400%","0","0","0.0000%","3413","2","45.0600%","10","28"
"10109078","DTW - 30560","2851200","2848749","2451","99.9100%","1078","1","43.9800%","1373","7","56.0200%","0","0","0.0000%","10","28"
"10007c0c","ORD1 - 31387","3283200","3280113","3087","99.9100%","0","0","0.0000%","0","0","0.0000%","3087","2","100.0000%","10","28"
"100d7b9b","SEA1 - 31232","4406400","4395548","10852","99.7500%","3780","1","34.8300%","7072","3","65.1700%","0","0","0.0000%","10","28"
"1000fede","ORD3 - 30566","6048000","6048000","0","100.0000%","0","0","0%","0","0","0%","0","0","0%","10","28"
"100b317d","ATL2 - 30564","6134400","6134400","0","100.0000%","0","0","0%","0","0","0%","0","0","0%","10","28"
"100d1583","IAD - 30153","3456000","3454099","1901","99.9400%","0","0","0.0000%","172","1","9.0500%","1729","1","90.9500%","10","28"
"10093b39","PHL - 31493","5529600","5522720","6880","99.8800%","6012","1","87.3800%","868","3","12.6200%","0","0","0.0000%","10","28"
"100248df","ORD4 - 30191","6048000","6048000","0","100.0000%","0","0","0%","0","0","0%","0","0","0%","10","28"
"1001eb37","BOS2 - 31336","2592000","2591748","252","99.9900%","0","0","0.0000%","252","1","100.0000%","0","0","0.0000%","10","28"
"10077d26","SJU1 - 31559","5702400","5701793","607","99.9900%","0","0","0.0000%","0","0","0.0000%","607","1","100.0000%","10","28"
"10033c8f","IAH2 - 30556","2937600","2937600","0","100.0000%","0","0","0%","0","0","0%","0","0","0%","10","28"
"1008252d","RDU - 30177","2332800","2325768","7032","99.7000%","0","0","0.0000%","7032","3","100.0000%","0","0","0.0000%","10","28"
"1007809a","LAX2 - 30668","6134400","6126819","7581","99.8800%","0","0","0.0000%","20","1","0.2600%","7561","4","99.7400%","10","28"
"10061de1","MIA2 - 31246","5961600","5960476","1124","99.9800%","0","0","0.0000%","0","0","0.0000%","1124","1","100.0000%","10","28"
"100c3985","JFK1 - 30557","5184000","5183579","421","99.9900%","0","0","0.0000%","421","1","100.0000%","0","0","0.0000%","10","28"
"1009004c","CVG - 32885","3196800","3194930","1870","99.9400%","1321","1","70.6400%","549","2","29.3600%","0","0","0.0000%","10","28"
"1009e6c6","LAX1 - 30331","5616000","5613699","2301","99.9600%","0","0","0.0000%","201","8","8.7400%","2100","3","91.2600%","10","28"
"1002ea86","ORD6 - 30833","2678400","2678400","0","100.0000%","0","0","0%","0","0","0%","0","0","0%","10","28"
"1004bbe9","SFO2 - 30555","5875200","5865748","9452","99.8400%","5849","1","61.8800%","316","2","3.3400%","3287","1","34.7800%","10","28"
"1001f8a7","PDX - 32813","4665600","4658111","7489","99.8400%","3888","1","51.9200%","3601","1","48.0800%","0","0","0.0000%","10","28"
"10012346","DFW2 - 29295","3801600","3800049","1551","99.9600%","0","0","0.0000%","222","1","14.3100%","1329","1","85.6900%","10","28"
"100a54e9","DFW1 - 29290","3974400","3973327","1073","99.9700%","478","1","44.5500%","0","0","0.0000%","595","2","55.4500%","10","28"
"100354fd","JFK2 - 30561","6048000","6043752","4248","99.9300%","2072","1","48.7800%","0","0","0.0000%","2176","3","51.2200%","10","27"
"100736ee","SEA2 - 31242","2764800","2764397","403","99.9900%","0","0","0.0000%","403","3","100.0000%","0","0","0.0000%","10","27"
"1000e712","DEN - EEN-BR820-30333","3024000","3024000","0","100.0000%","0","0","0%","0","0","0%","0","0","0%","10","27"
"100317d3","SFO1 - 34022","3888000","3887572","428","99.9900%","0","0","0.0000%","428","2","100.0000%","0","0","0.0000%","10","27"
"10105ff7","MIA1 - 31492","7689600","7688174","1426","99.9800%","0","0","0.0000%","1034","70","72.5100%","392","12","27.4900%","10","27"
"1004c0ff","ORD7 - 30832","2505600","2505600","0","100.0000%","0","0","0%","0","0","0%","0","0","0%","10","27"
"100112ce","ATL1 - 31335","6739200","6738959","241","100.0000%","0","0","0.0000%","241","1","100.0000%","0","0","0.0000%","10","27"
"10090323","IAH1 - 30554","3628800","3628699","101","100.0000%","0","0","0.0000%","101","1","100.0000%","0","0","0.0000%","10","27"
"10035cb5","IAH3 - 30178","3369600","3366072","3528","99.9000%","0","0","0.0000%","364","2","10.3200%","3164","2","89.6800%","10","27"
"10015d48","BOS1- 34148","5616000","5616000","0","100.0000%","0","0","0%","0","0","0%","0","0","0%","10","27"
"100eed3d","ORD2 - 30567","4838400","4838112","288","99.9900%","0","0","0.0000%","288","1","100.0000%","0","0","0.0000%","10","27"
"10083044","ORD5 - 30834","5011200","5005249","5951","99.8800%","3097","1","52.0400%","0","0","0.0000%","2854","1","47.9600%","10","27"
"10109078","DTW - 30560","2851200","2848402","2798","99.9000%","0","0","0.0000%","2798","11","100.0000%","0","0","0.0000%","10","27"
"10007c0c","ORD1 - 31387","3283200","3277954","5246","99.8400%","0","0","0.0000%","4346","1","82.8400%","900","1","17.1600%","10","27"
"100d7b9b","SEA1 - 31232","4406400","4406009","391","99.9900%","0","0","0.0000%","391","2","100.0000%","0","0","0.0000%","10","27"
"1000fede","ORD3 - 30566","6048000","6048000","0","100.0000%","0","0","0%","0","0","0%","0","0","0%","10","27"
"100b317d","ATL2 - 30564","6134400","6134400","0","100.0000%","0","0","0%","0","0","0%","0","0","0%","10","27"
"100d1583","IAD - 30153","3456000","3456000","0","100.0000%","0","0","0%","0","0","0%","0","0","0%","10","27"
"10093b39","PHL - 31493","5529600","5527843","1757","99.9700%","0","0","0.0000%","1200","5","68.3000%","557","1","31.7000%","10","27"
"100248df","ORD4 - 30191","6048000","6048000","0","100.0000%","0","0","0%","0","0","0%","0","0","0%","10","27"
"1001eb37","BOS2 - 31336","2592000","2591640","360","99.9900%","0","0","0.0000%","360","1","100.0000%","0","0","0.0000%","10","27"
"10077d26","SJU1 - 31559","5702400","5702389","11","100.0000%","0","0","0.0000%","11","1","100.0000%","0","0","0.0000%","10","27"
"10033c8f","IAH2 - 30556","2937600","2934863","2737","99.9100%","2713","1","99.1200%","24","1","0.8800%","0","0","0.0000%","10","27"
"1008252d","RDU - 30177","2332800","2332431","369","99.9800%","0","0","0.0000%","369","1","100.0000%","0","0","0.0000%","10","27"
"1007809a","LAX2 - 30668","6134400","6132285","2115","99.9700%","0","0","0.0000%","0","0","0.0000%","2115","1","100.0000%","10","27"
"10061de1","MIA2 - 31246","5961600","5961600","0","100.0000%","0","0","0%","0","0","0%","0","0","0%","10","27"
"100c3985","JFK1 - 30557","5184000","5179406","4594","99.9100%","4594","1","100.0000%","0","0","0.0000%","0","0","0.0000%","10","27"
"1009004c","CVG - 32885","3196800","3192662","4138","99.8700%","3721","1","89.9200%","417","2","10.0800%","0","0","0.0000%","10","27"
"1009e6c6","LAX1 - 30331","5616000","5615218","782","99.9900%","687","1","87.8500%","95","6","12.1500%","0","0","0.0000%","10","27"
"1002ea86","ORD6 - 30833","2678400","2678400","0","100.0000%","0","0","0%","0","0","0%","0","0","0%","10","27"
"1004bbe9","SFO2 - 30555","5875200","5862045","13155","99.7800%","5839","1","44.3900%","245","1","1.8600%","7071","2","53.7500%","10","27"
"1001f8a7","PDX - 32813","4665600","4661507","4093","99.9100%","4093","1","100.0000%","0","0","0.0000%","0","0","0.0000%","10","27"
"10012346","DFW2 - 29295","3801600","3801310","290","99.9900%","0","0","0.0000%","290","1","100.0000%","0","0","0.0000%","10","27"
"100a54e9","DFW1 - 29290","3974400","3973236","1164","99.9700%","1164","2","100.0000%","0","0","0.0000%","0","0","0.0000%","10","27"
"100354fd","JFK2 - 30561","6048000","6046313","1687","99.9700%","0","0","0.0000%","0","0","0.0000%","1687","2","100.0000%","10","26"
"100736ee","SEA2 - 31242","2764800","2764231","569","99.9800%","0","0","0.0000%","569","2","100.0000%","0","0","0.0000%","10","26"
"1000e712","DEN - EEN-BR820-30333","3024000","3024000","0","100.0000%","0","0","0%","0","0","0%","0","0","0%","10","26"
"100317d3","SFO1 - 34022","3888000","3887755","245","99.9900%","0","0","0.0000%","245","1","100.0000%","0","0","0.0000%","10","26"
"10105ff7","MIA1 - 31492","7689600","7684908","4692","99.9400%","0","0","0.0000%","2033","78","43.3300%","2659","23","56.6700%","10","26"
"1004c0ff","ORD7 - 30832","2505600","2500989","4611","99.8200%","3697","2","80.1800%","914","1","19.8200%","0","0","0.0000%","10","26"
"100112ce","ATL1 - 31335","6739200","6739025","175","100.0000%","0","0","0.0000%","175","1","100.0000%","0","0","0.0000%","10","26"
"10090323","IAH1 - 30554","3628800","3628501","299","99.9900%","0","0","0.0000%","299","1","100.0000%","0","0","0.0000%","10","26"
"10035cb5","IAH3 - 30178","3369600","3369095","505","99.9900%","0","0","0.0000%","159","13","31.4900%","346","9","68.5100%","10","26"
"10015d48","BOS1- 34148","5616000","5616000","0","100.0000%","0","0","0%","0","0","0%","0","0","0%","10","26"
"100eed3d","ORD2 - 30567","4838400","4838126","274","99.9900%","0","0","0.0000%","274","3","100.0000%","0","0","0.0000%","10","26"
"10083044","ORD5 - 30834","5011200","5010617","583","99.9900%","0","0","0.0000%","0","0","0.0000%","583","2","100.0000%","10","26"
"10109078","DTW - 30560","2851200","2849976","1224","99.9600%","0","0","0.0000%","720","3","58.8200%","504","1","41.1800%","10","26"
"10007c0c","ORD1 - 31387","3283200","3276054","7146","99.7800%","0","0","0.0000%","0","0","0.0000%","7146","4","100.0000%","10","26"
"100d7b9b","SEA1 - 31232","4406400","4402510","3890","99.9100%","3844","1","98.8200%","46","2","1.1800%","0","0","0.0000%","10","26"
"1000fede","ORD3 - 30566","6048000","6044449","3551","99.9400%","3551","1","100.0000%","0","0","0.0000%","0","0","0.0000%","10","26"
"100b317d","ATL2 - 30564","6134400","6133973","427","99.9900%","0","0","0.0000%","41","2","9.6000%","386","4","90.4000%","10","26"
"100d1583","IAD - 30153","3456000","3456000","0","100.0000%","0","0","0%","0","0","0%","0","0","0%","10","26"
"10093b39","PHL - 31493","5529600","5528508","1092","99.9800%","0","0","0.0000%","1092","4","100.0000%","0","0","0.0000%","10","26"
"100248df","ORD4 - 30191","6048000","6045053","2947","99.9500%","0","0","0.0000%","2947","2","100.0000%","0","0","0.0000%","10","26"
"1001eb37","BOS2 - 31336","2592000","2591373","627","99.9800%","0","0","0.0000%","627","2","100.0000%","0","0","0.0000%","10","26"
"10077d26","SJU1 - 31559","5702400","5697597","4803","99.9200%","4803","1","100.0000%","0","0","0.0000%","0","0","0.0000%","10","26"
"10033c8f","IAH2 - 30556","2937600","2937600","0","100.0000%","0","0","0%","0","0","0%","0","0","0%","10","26"
"1008252d","RDU - 30177","2332800","2332579","221","99.9900%","0","0","0.0000%","221","1","100.0000%","0","0","0.0000%","10","26"
"1007809a","LAX2 - 30668","6134400","6131425","2975","99.9500%","0","0","0.0000%","0","0","0.0000%","2975","2","100.0000%","10","26"
"10061de1","MIA2 - 31246","5961600","5957803","3797","99.9400%","0","0","0.0000%","0","0","0.0000%","3797","3","100.0000%","10","26"
"100c3985","JFK1 - 30557","5184000","5179667","4333","99.9200%","4333","1","100.0000%","0","0","0.0000%","0","0","0.0000%","10","26"
"1009004c","CVG - 32885","3196800","3191489","5311","99.8300%","4081","1","76.8400%","1230","4","23.1600%","0","0","0.0000%","10","26"
"1009e6c6","LAX1 - 30331","5616000","5614441","1559","99.9700%","1190","1","76.3300%","344","14","22.0700%","25","1","1.6000%","10","26"
"1002ea86","ORD6 - 30833","2678400","2678400","0","100.0000%","0","0","0%","0","0","0%","0","0","0%","10","26"
"1004bbe9","SFO2 - 30555","5875200","5863524","11676","99.8000%","11522","2","98.6800%","154","1","1.3200%","0","0","0.0000%","10","26"
"1001f8a7","PDX - 32813","4665600","4664583","1017","99.9800%","0","0","0.0000%","1017","1","100.0000%","0","0","0.0000%","10","26"
"10012346","DFW2 - 29295","3801600","3801315","285","99.9900%","0","0","0.0000%","285","1","100.0000%","0","0","0.0000%","10","26"
"100a54e9","DFW1 - 29290","3974400","3973108","1292","99.9700%","1204","2","93.1900%","0","0","0.0000%","88","1","6.8100%","10","26"
"100354fd","JFK2 - 30561","6048000","6043914","4086","99.9300%","0","0","0.0000%","3601","1","88.1300%","485","1","11.8700%","10","25"
"100736ee","SEA2 - 31242","2764800","2763785","1015","99.9600%","0","0","0.0000%","1015","4","100.0000%","0","0","0.0000%","10","25"
"1000e712","DEN - EEN-BR820-30333","3024000","3024000","0","100.0000%","0","0","0%","0","0","0%","0","0","0%","10","25"
"100317d3","SFO1 - 34022","3888000","3885422","2578","99.9300%","0","0","0.0000%","728","2","28.2400%","1850","1","71.7600%","10","25"
"10105ff7","MIA1 - 31492","7689600","7688930","670","99.9900%","0","0","0.0000%","463","25","69.1000%","207","4","30.9000%","10","25"
"1004c0ff","ORD7 - 30832","2505600","2504333","1267","99.9500%","0","0","0.0000%","0","0","0.0000%","1267","2","100.0000%","10","25"
"100112ce","ATL1 - 31335","6739200","6738952","248","100.0000%","0","0","0.0000%","248","1","100.0000%","0","0","0.0000%","10","25"
"10090323","IAH1 - 30554","3628800","3628246","554","99.9800%","0","0","0.0000%","554","2","100.0000%","0","0","0.0000%","10","25"
"10035cb5","IAH3 - 30178","3369600","3342962","26638","99.2100%","0","0","0.0000%","57","5","0.2100%","26581","4","99.7900%","10","25"
"10015d48","BOS1- 34148","5616000","5616000","0","100.0000%","0","0","0%","0","0","0%","0","0","0%","10","25"
"100eed3d","ORD2 - 30567","4838400","4828334","10066","99.7900%","0","0","0.0000%","474","2","4.7100%","9592","2","95.2900%","10","25"
"10083044","ORD5 - 30834","5011200","4995714","15486","99.6900%","15398","4","99.4300%","0","0","0.0000%","88","1","0.5700%","10","25"
"10109078","DTW - 30560","2851200","2845462","5738","99.8000%","2710","1","47.2300%","883","3","15.3900%","2145","2","37.3800%","10","25"
"10007c0c","ORD1 - 31387","3283200","3283200","0","100.0000%","0","0","0%","0","0","0%","0","0","0%","10","25"
"100d7b9b","SEA1 - 31232","4406400","4403767","2633","99.9400%","0","0","0.0000%","2633","3","100.0000%","0","0","0.0000%","10","25"
"1000fede","ORD3 - 30566","6048000","6048000","0","100.0000%","0","0","0%","0","0","0%","0","0","0%","10","25"
"100b317d","ATL2 - 30564","6134400","6134327","73","100.0000%","0","0","0.0000%","0","0","0.0000%","73","1","100.0000%","10","25"
"100d1583","IAD - 30153","3456000","3455955","45","100.0000%","0","0","0.0000%","45","1","100.0000%","0","0","0.0000%","10","25"
"10093b39","PHL - 31493","5529600","5528511","1089","99.9800%","0","0","0.0000%","1089","4","100.0000%","0","0","0.0000%","10","25"
"100248df","ORD4 - 30191","6048000","6037741","10259","99.8300%","10218","1","99.6000%","41","2","0.4000%","0","0","0.0000%","10","25"
"1001eb37","BOS2 - 31336","2592000","2591879","121","100.0000%","0","0","0.0000%","121","1","100.0000%","0","0","0.0000%","10","25"
"10077d26","SJU1 - 31559","5702400","5702400","0","100.0000%","0","0","0%","0","0","0%","0","0","0%","10","25"
"10033c8f","IAH2 - 30556","2937600","2937600","0","100.0000%","0","0","0%","0","0","0%","0","0","0%","10","25"
"1008252d","RDU - 30177","2332800","2332251","549","99.9800%","0","0","0.0000%","549","2","100.0000%","0","0","0.0000%","10","25"
"1007809a","LAX2 - 30668","6134400","6133680","720","99.9900%","0","0","0.0000%","0","0","0.0000%","720","1","100.0000%","10","25"
"10061de1","MIA2 - 31246","5961600","5961347","253","100.0000%","0","0","0.0000%","13","1","5.1400%","240","1","94.8600%","10","25"
"100c3985","JFK1 - 30557","5184000","5179508","4492","99.9100%","4492","1","100.0000%","0","0","0.0000%","0","0","0.0000%","10","25"
"1009004c","CVG - 32885","3196800","3188154","8646","99.7300%","7964","2","92.1100%","682","2","7.8900%","0","0","0.0000%","10","25"
"1009e6c6","LAX1 - 30331","5616000","5614376","1624","99.9700%","1243","1","76.5400%","249","15","15.3300%","132","1","8.1300%","10","25"
"1002ea86","ORD6 - 30833","2678400","2678400","0","100.0000%","0","0","0%","0","0","0%","0","0","0%","10","25"
"1004bbe9","SFO2 - 30555","5875200","5863059","12141","99.7900%","11898","2","98.0000%","243","1","2.0000%","0","0","0.0000%","10","25"
"1001f8a7","PDX - 32813","4665600","4658049","7551","99.8400%","0","0","0.0000%","0","0","0.0000%","7551","2","100.0000%","10","25"
"10012346","DFW2 - 29295","3801600","3800435","1165","99.9700%","475","1","40.7700%","446","3","38.2800%","244","1","20.9400%","10","25"
"100a54e9","DFW1 - 29290","3974400","3971808","2592","99.9300%","2592","4","100.0000%","0","0","0.0000%","0","0","0.0000%","10","25"
"100354fd","JFK2 - 30561","6048000","6043914","4086","99.9300%","0","0","0.0000%","3601","1","88.1300%","485","1","11.8700%","10","25"
"100736ee","SEA2 - 31242","2764800","2763785","1015","99.9600%","0","0","0.0000%","1015","4","100.0000%","0","0","0.0000%","10","25"
"1000e712","DEN - EEN-BR820-30333","3024000","3024000","0","100.0000%","0","0","0%","0","0","0%","0","0","0%","10","25"
"100317d3","SFO1 - 34022","3888000","3885422","2578","99.9300%","0","0","0.0000%","728","2","28.2400%","1850","1","71.7600%","10","25"
"10105ff7","MIA1 - 31492","7689600","7688930","670","99.9900%","0","0","0.0000%","463","25","69.1000%","207","4","30.9000%","10","25"
"1004c0ff","ORD7 - 30832","2505600","2504333","1267","99.9500%","0","0","0.0000%","0","0","0.0000%","1267","2","100.0000%","10","25"
"100112ce","ATL1 - 31335","6739200","6738952","248","100.0000%","0","0","0.0000%","248","1","100.0000%","0","0","0.0000%","10","25"
"10090323","IAH1 - 30554","3628800","3628246","554","99.9800%","0","0","0.0000%","554","2","100.0000%","0","0","0.0000%","10","25"
"10035cb5","IAH3 - 30178","3369600","3342962","26638","99.2100%","0","0","0.0000%","57","5","0.2100%","26581","4","99.7900%","10","25"
"10015d48","BOS1- 34148","5616000","5616000","0","100.0000%","0","0","0%","0","0","0%","0","0","0%","10","25"
"100eed3d","ORD2 - 30567","4838400","4828334","10066","99.7900%","0","0","0.0000%","474","2","4.7100%","9592","2","95.2900%","10","25"
"10083044","ORD5 - 30834","5011200","4995714","15486","99.6900%","15398","4","99.4300%","0","0","0.0000%","88","1","0.5700%","10","25"
"10109078","DTW - 30560","2851200","2845462","5738","99.8000%","2710","1","47.2300%","883","3","15.3900%","2145","2","37.3800%","10","25"
"10007c0c","ORD1 - 31387","3283200","3283200","0","100.0000%","0","0","0%","0","0","0%","0","0","0%","10","25"
"100d7b9b","SEA1 - 31232","4406400","4403767","2633","99.9400%","0","0","0.0000%","2633","3","100.0000%","0","0","0.0000%","10","25"
"1000fede","ORD3 - 30566","6048000","6048000","0","100.0000%","0","0","0%","0","0","0%","0","0","0%","10","25"
"100b317d","ATL2 - 30564","6134400","6134327","73","100.0000%","0","0","0.0000%","0","0","0.0000%","73","1","100.0000%","10","25"
"100d1583","IAD - 30153","3456000","3455955","45","100.0000%","0","0","0.0000%","45","1","100.0000%","0","0","0.0000%","10","25"
"10093b39","PHL - 31493","5529600","5528511","1089","99.9800%","0","0","0.0000%","1089","4","100.0000%","0","0","0.0000%","10","25"
"100248df","ORD4 - 30191","6048000","6037741","10259","99.8300%","10218","1","99.6000%","41","2","0.4000%","0","0","0.0000%","10","25"
"1001eb37","BOS2 - 31336","2592000","2591879","121","100.0000%","0","0","0.0000%","121","1","100.0000%","0","0","0.0000%","10","25"
"10077d26","SJU1 - 31559","5702400","5702400","0","100.0000%","0","0","0%","0","0","0%","0","0","0%","10","25"
"10033c8f","IAH2 - 30556","2937600","2937600","0","100.0000%","0","0","0%","0","0","0%","0","0","0%","10","25"
"1008252d","RDU - 30177","2332800","2332251","549","99.9800%","0","0","0.0000%","549","2","100.0000%","0","0","0.0000%","10","25"
"1007809a","LAX2 - 30668","6134400","6133680","720","99.9900%","0","0","0.0000%","0","0","0.0000%","720","1","100.0000%","10","25"
"10061de1","MIA2 - 31246","5961600","5961347","253","100.0000%","0","0","0.0000%","13","1","5.1400%","240","1","94.8600%","10","25"
"100c3985","JFK1 - 30557","5184000","5179508","4492","99.9100%","4492","1","100.0000%","0","0","0.0000%","0","0","0.0000%","10","25"
"1009004c","CVG - 32885","3196800","3188154","8646","99.7300%","7964","2","92.1100%","682","2","7.8900%","0","0","0.0000%","10","25"
"1009e6c6","LAX1 - 30331","5616000","5614376","1624","99.9700%","1243","1","76.5400%","249","15","15.3300%","132","1","8.1300%","10","25"
"1002ea86","ORD6 - 30833","2678400","2678400","0","100.0000%","0","0","0%","0","0","0%","0","0","0%","10","25"
"1004bbe9","SFO2 - 30555","5875200","5863059","12141","99.7900%","11898","2","98.0000%","243","1","2.0000%","0","0","0.0000%","10","25"
"1001f8a7","PDX - 32813","4665600","4658049","7551","99.8400%","0","0","0.0000%","0","0","0.0000%","7551","2","100.0000%","10","25"
"10012346","DFW2 - 29295","3801600","3800435","1165","99.9700%","475","1","40.7700%","446","3","38.2800%","244","1","20.9400%","10","25"
"100a54e9","DFW1 - 29290","3974400","3971808","2592","99.9300%","2592","4","100.0000%","0","0","0.0000%","0","0","0.0000%","10","25"
"100354fd","JFK2 - 30561","6048000","6035805","12195","99.8000%","9202","2","75.4600%","645","3","5.2900%","2348","2","19.2500%","10","23"
"100736ee","SEA2 - 31242","2764800","1741926","1022874","63.0000%","1021575","2","99.8700%","1299","3","0.1300%","0","0","0.0000%","10","23"
"1000e712","DEN - EEN-BR820-30333","3024000","3022418","1582","99.9500%","1582","1","100.0000%","0","0","0.0000%","0","0","0.0000%","10","23"
"100317d3","SFO1 - 34022","3888000","3876138","11862","99.6900%","2308","1","19.4600%","229","1","1.9300%","9325","2","78.6100%","10","23"
"10105ff7","MIA1 - 31492","7689600","7676619","12981","99.8300%","10681","1","82.2800%","362","26","2.7900%","1938","5","14.9300%","10","23"
"1004c0ff","ORD7 - 30832","2505600","2503861","1739","99.9300%","1739","1","100.0000%","0","0","0.0000%","0","0","0.0000%","10","23"
"100112ce","ATL1 - 31335","6739200","6732854","6346","99.9100%","0","0","0.0000%","1135","3","17.8900%","5211","2","82.1100%","10","23"
"10090323","IAH1 - 30554","3628800","3623952","4848","99.8700%","2456","2","50.6600%","1791","27","36.9400%","601","10","12.4000%","10","23"
"10035cb5","IAH3 - 30178","3369600","3363374","6226","99.8200%","0","0","0.0000%","270","21","4.3400%","5956","8","95.6600%","10","23"
"10015d48","BOS1- 34148","5616000","5564051","51949","99.0700%","51949","2","100.0000%","0","0","0.0000%","0","0","0.0000%","10","23"
"100eed3d","ORD2 - 30567","4838400","4827282","11118","99.7700%","2700","1","24.2800%","1913","5","17.2100%","6505","2","58.5100%","10","23"
"10083044","ORD5 - 30834","5011200","4999249","11951","99.7600%","9881","3","82.6800%","620","1","5.1900%","1450","2","12.1300%","10","23"
"10109078","DTW - 30560","2851200","2844298","6902","99.7600%","3776","2","54.7100%","964","3","13.9700%","2162","2","31.3200%","10","23"
"10007c0c","ORD1 - 31387","3283200","3279474","3726","99.8900%","2359","1","63.3100%","1367","3","36.6900%","0","0","0.0000%","10","23"
"100d7b9b","SEA1 - 31232","4406400","4367224","39176","99.1100%","33712","4","86.0500%","3339","4","8.5200%","2125","1","5.4200%","10","23"
"1000fede","ORD3 - 30566","6048000","6041782","6218","99.9000%","5359","1","86.1900%","859","1","13.8100%","0","0","0.0000%","10","23"
"100b317d","ATL2 - 30564","6134400","6131675","2725","99.9600%","0","0","0.0000%","0","0","0.0000%","2725","1","100.0000%","10","23"
"100d1583","IAD - 30153","3456000","3452672","3328","99.9000%","1752","1","52.6400%","1576","4","47.3600%","0","0","0.0000%","10","23"
"10093b39","PHL - 31493","5529600","5520395","9205","99.8300%","5076","2","55.1400%","4107","7","44.6200%","22","1","0.2400%","10","23"
"100248df","ORD4 - 30191","6048000","6027685","20315","99.6600%","19203","3","94.5300%","97","5","0.4800%","1015","1","5.0000%","10","23"
"1001eb37","BOS2 - 31336","2592000","2590369","1631","99.9400%","1019","1","62.4800%","612","2","37.5200%","0","0","0.0000%","10","23"
"10077d26","SJU1 - 31559","5702400","5692252","10148","99.8200%","5445","1","53.6600%","3613","2","35.6000%","1090","1","10.7400%","10","23"
"10033c8f","IAH2 - 30556","2937600","2935550","2050","99.9300%","1407","1","68.6300%","643","1","31.3700%","0","0","0.0000%","10","23"
"1008252d","RDU - 30177","2332800","2331600","1200","99.9500%","723","1","60.2500%","477","2","39.7500%","0","0","0.0000%","10","23"
"1007809a","LAX2 - 30668","6134400","6128521","5879","99.9000%","0","0","0.0000%","1428","3","24.2900%","4451","3","75.7100%","10","23"
"10061de1","MIA2 - 31246","5961600","5950298","11302","99.8100%","10121","2","89.5500%","0","0","0.0000%","1181","1","10.4500%","10","23"
"100c3985","JFK1 - 30557","5184000","5178783","5217","99.9000%","4461","1","85.5100%","703","1","13.4800%","53","1","1.0200%","10","23"
"1009004c","CVG - 32885","3196800","3194080","2720","99.9100%","1489","1","54.7400%","1231","4","45.2600%","0","0","0.0000%","10","23"
"1009e6c6","LAX1 - 30331","5616000","5609642","6358","99.8900%","4660","2","73.2900%","1445","10","22.7300%","253","2","3.9800%","10","23"
"1002ea86","ORD6 - 30833","2678400","2677075","1325","99.9500%","0","0","0.0000%","1325","2","100.0000%","0","0","0.0000%","10","23"
"1004bbe9","SFO2 - 30555","5875200","5864648","10552","99.8200%","9946","2","94.2600%","606","3","5.7400%","0","0","0.0000%","10","23"
